,video_id,title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,likes,dislikes,comments
0,lCePSP4lb-k,Wow! Let's go live! Epic decorations and DIYS,1,558,10825,45,8,3,1,4,1,5.625,0,0,0.1318181818181818,4956,1240,268
1,G7O9iWWOtTY,EXTREME ROOM TRANSFORMATION || Cool Design Ideas For Your Place,1,1020,184374,63,10,2,3,0,2,6.3,0,0,0.1124999999999999,4901,438,298
2,cd0u5IFxBdo,LATE SUMMER HACKS TO SAVE YOUR DAY,2,629,478170,34,7,0,7,0,2,4.857142857142857,0,0,-0.3,11278,1307,358
3,lWSXHFPqBfo,EVERY SMART PARENT KNOWS THESE USEFUL HACKS #shorts,2,41,197359,51,8,1,7,1,1,6.375,0,0,0.2571428571428571,467309,69135,0
4,qqPFeyd84Lg,SMART HACKS TO SAVE YOUR WEDDING DAY🤵‍👰‍💍🕊️,3,784,162025,43,7,0,7,0,2,6.142857142857143,0,0,0.2142857142857142,2778,379,181
5,RgGatLyuXvo,MINI FOOD COOKING || Amazing Mini Crafts & Miniature House Models,3,1080,187127,65,11,3,3,0,0,5.909090909090909,0,0,0.6000000000000001,3552,238,231
6,zuFMA6hi_ZM,Emergency Hacks For Smart Moms And Dads || Everyday Parenting Tips,4,900,187048,66,11,2,0,0,2,6.0,0,0,0.0071428571428571,2902,409,0
7,MPRk5hcvBBc,Best DIY Jewelry Ideas || 3D Pen & Epoxy Resin Crafts,5,960,650103,53,11,3,2,0,0,4.818181818181818,1,0,1.0,7183,817,326
8,xLuPvUrS5lc,TRENDY FIDGET TOYS YOU NEED TO SEE || DIY Fidget Toys Ideas,6,696,717778,59,12,2,8,0,2,4.916666666666667,0,0,0.6,13705,2074,376
9,KKtvsTjpgmo,"Wow! Useful Gadgets, Toys And Hacks For Smart Pet Owners",5,900,1569346,56,10,2,0,0,2,5.6,0,0,0.2130952380952381,20294,2820,540
10,wWZsTEzYCDw,"GUIDE FOR PARENTS: Useful Gadgets, Crafts And Hacks",5,3600,959040,51,8,2,3,0,2,6.375,0,0,0.3,12680,1819,0
11,LNHHhC0C-Is,GLUE GUN vs 3D PEN! Genius Hacks & Cool Crafts,5,1020,421168,46,10,2,4,1,0,4.6,1,0,0.35,6594,753,374
12,rXbxYB1-9K0,FANTASTIC ART HACKS FOR BEGINNERS,5,900,262868,33,5,0,5,0,1,6.6,0,0,0.4,3465,334,258
13,lRHfuH2tD5Q,PRICELESS HACKS AND CRAFTS FOR SMART PARENTS,5,3780,1763396,44,7,0,7,0,2,6.285714285714286,0,0,0.6071428571428571,31034,5241,0
14,Vq_WrH4mmGY,Fun Activities and Cool Crafts for Parents to Do With Their Kids,5,576,1112657,64,12,0,0,3,6,5.333333333333333,0,0,0.3249999999999999,14288,2224,0
15,-QEM4HweTys&t=1s,IF OBJECTS WERE PEOPLE || Funny Situations And Relatable Moments,5,900,178849,64,10,2,4,0,3,6.4,0,0,0.25,0,0,0
16,foMm6pE0L7o,Brilliant Hacks & Crafts All Parents Should Know,5,900,343207,48,8,1,0,0,2,6.0,0,0,0.9,4801,973,0
17,_VjRtjLi0w8,30+ AMAZING CRAFT IDEAS & HACKS WITH 3D PEN,5,960,701802,43,9,2,7,0,1,4.777777777777778,1,1,0.6000000000000001,8243,1167,341
18,4FJlhjscg2k,Food Hacks & Snack Ideas For The Best Parents Ever,5,1020,384727,50,10,1,0,0,2,5.0,0,0,1.0,6576,1025,241
19,4kOFS6Sqqy8,SPOOKY HALLOWEEN IDEAS || Easy Halloween Recipes and DIYs,5,603,511420,57,9,2,3,1,1,6.333333333333333,0,0,0.4333333333333333,8405,614,552
20,cUahECNuupY,AMAZING GARDEN HACKS & PLANTING IDEAS,5,900,309419,37,6,1,5,0,0,6.166666666666667,0,0,0.6000000000000001,4308,412,186
21,bMHGju6H4uo,KIDS vs DOCTOR👩‍⚕💉 || All Parents Should Know These Valuable Life Hacks,10,3660,1259590,71,12,2,2,1,3,5.916666666666667,0,0,0.0,16429,2878,0
22,Fp33nUQEVu8,"MYSTERY BOX CHALLENGE! Popular TikTok Challenges, Games And Experiments",10,900,236934,71,9,2,3,0,1,7.888888888888889,0,0,0.6,2207,306,127
23,EaFHCa51558,"POP IT MEGA COMPILATION || Best Crafts, Fun DIYs And Life Hacks",10,900,542767,63,12,3,4,0,2,5.25,0,0,0.65,4412,746,291
24,2unLZvJpOxE,50 CREATIVE WAYS TO COOK EGGS,10,900,350782,29,6,0,5,0,1,4.833333333333333,1,1,0.5,4392,338,239
25,NQYtgTKFB3M,PARENTING IS EASY! Top Hacks & Crafts From Smart Parents,10,960,825187,56,10,2,3,0,2,5.6,0,0,0.4186507936507936,14201,2558,0
26,iKwhW7gYwl4,BEST WEDDING DAY HACKS FOR SMART BRIDES AND GROOMS,10,611,1123571,50,9,0,9,0,2,5.555555555555555,0,0,0.6071428571428571,9593,1190,330
27,Ebrp_VSInls,BEST PET GADGETS AND HACKS EVERY PET OWNER SHOULD KNOW,10,960,1543299,54,10,0,10,0,2,5.4,0,0,1.0,19903,1751,427
28,HDEdowENHxU,Best Snack Ideas For Parents || Easy Family Meal Ideas,10,3660,507124,54,10,2,0,0,1,5.4,0,0,0.7166666666666667,5174,608,190
29,E_U-T65hBjQ,OMG! WE BUILT A GIANT POOL IN OUR BACKYARD😎💦🍹 #shorts,10,59,14218061,53,10,2,9,1,4,5.3,0,0,0.0,783726,125945,0
30,nRGFJ6dZSdE,50 BEST ART HACKS FOR BEGINNERS,10,900,387358,31,6,0,5,0,1,5.166666666666667,1,1,1.0,4618,480,279
31,36cJz-KP_VA,AWESOME SHOE HACKS || How To Renovate Old Shoes,10,960,504638,47,9,2,3,0,2,5.222222222222222,0,0,0.55,5163,812,273
32,10lqF2HUlw8,30+ SMART PARENTING HACKS AND CRAFTS,10,545,1511713,36,6,1,5,0,1,6.0,1,1,0.2142857142857142,16462,2535,0
33,c6rUmsRY524,Brilliant Kitchen Hacks & Yummy Recipes To Make You Love Cooking,10,900,296844,64,11,1,0,0,2,5.818181818181818,0,0,0.7,3141,412,279
34,jy8fS1p3tfQ,CREEPY REALISTIC SOAP IDEAS || DIY Candle And Soap Crafts,15,960,402044,57,10,2,5,0,1,5.7,0,0,-0.1666666666666666,3772,460,199
